time,open,high,low,close,Volume
2025-05-25T09:00:00+03:00,174.02,174.03,173.43,173.47,8668.139
2025-05-25T09:15:00+03:00,173.47,173.77,173.3,173.71,11948.087
2025-05-25T09:30:00+03:00,173.71,173.76,173.36,173.49,11818.852
2025-05-25T09:45:00+03:00,173.48,173.75,173.13,173.45,13074.384
2025-05-25T10:00:00+03:00,173.44,173.46,172.58,172.61,25020.605
2025-05-25T10:15:00+03:00,172.61,172.92,171.96,172.11,28635.895
2025-05-25T10:30:00+03:00,172.1,172.51,171.88,172.2,13368.47
2025-05-25T10:45:00+03:00,172.2,172.46,172.02,172.34,11188.413
2025-05-25T11:00:00+03:00,172.35,172.36,171.25,171.36,37502.165
2025-05-25T11:15:00+03:00,171.35,171.65,171.04,171.35,26941.045
2025-05-25T11:30:00+03:00,171.35,171.7,171.22,171.5,13356.545
2025-05-25T11:45:00+03:00,171.51,171.51,170.13,170.8,56810.747
2025-05-25T12:00:00+03:00,170.81,171.5,170.27,171.24,58633.917
2025-05-25T12:15:00+03:00,171.24,171.8,170.71,171.64,72327.043
2025-05-25T12:30:00+03:00,171.65,171.75,170.86,171.56,31425.339
2025-05-25T12:45:00+03:00,171.55,172.18,171.55,172.06,49038.731
2025-05-25T13:00:00+03:00,172.05,172.26,171.56,171.78,34445.575
2025-05-25T13:15:00+03:00,171.78,171.99,171.28,171.37,22541.536
2025-05-25T13:30:00+03:00,171.37,171.85,171.37,171.63,7907.316
2025-05-25T13:45:00+03:00,171.62,171.92,170.9,171.17,21469.051
2025-05-25T14:00:00+03:00,171.18,171.89,171.05,171.82,17669.163
2025-05-25T14:15:00+03:00,171.82,171.95,171.56,171.78,22825.74
2025-05-25T14:30:00+03:00,171.78,171.95,171.22,171.45,22169.365
2025-05-25T14:45:00+03:00,171.45,172.03,171.34,171.98,14764.38
2025-05-25T15:00:00+03:00,171.99,172.03,171.42,171.75,21146.447
2025-05-25T15:15:00+03:00,171.75,172.5,171.75,171.96,22007.385
2025-05-25T15:30:00+03:00,171.96,172.43,171.94,172.18,16878.863
2025-05-25T15:45:00+03:00,172.19,172.66,172.19,172.6,16382.859
2025-05-25T16:00:00+03:00,172.59,172.59,171.59,171.76,18287.695
2025-05-25T16:15:00+03:00,171.76,172.22,171,172.18,63109.995
2025-05-25T16:30:00+03:00,172.17,172.61,172.05,172.31,17007.035
2025-05-25T16:45:00+03:00,172.32,172.64,171.98,171.99,26304.999
2025-05-25T17:00:00+03:00,171.98,172.36,171.72,172.06,12252.414
2025-05-25T17:15:00+03:00,172.06,172.16,171.48,172.08,12642.205
2025-05-25T17:30:00+03:00,172.08,172.11,170.87,170.88,21978.505
2025-05-25T17:45:00+03:00,170.88,171.21,170.33,171.07,33505.554
